"year","sex","age","height","weight","bmi","education","citizenship","country"
1987,0,93,151.66,67.73,29.45,"Only secondary","non-ES citizen","ES"
2025,0,3,170.41,84.27,29.02,"Kindergarten","ES citizen","ES"
1962,1,3,162.55,69.92,26.46,"Kindergarten","ES citizen","ES"
1958,0,36,153.59,66.42,28.16,"Higher","ES citizen","ES"
2017,0,10,169.67,69.53,24.15,"Primary","ES citizen","ES"
1938,1,16,179.06,54.36,16.95,"Secondary","ES citizen","ES"
2022,1,23,173.42,71.06,23.63,"Only secondary","ES citizen","ES"
1931,0,88,158.39,74.07,29.52,"Only secondary","ES citizen","ES"
1966,0,52,162.89,71.77,27.05,"Only secondary","ES citizen","ES"
1930,1,82,180.35,89.42,27.49,"Only secondary","ES citizen","ES"
1967,1,93,184.12,71.99,21.24,"Only secondary","ES citizen","ES"
1981,0,95,152.05,82.37,35.63,"Only secondary","ES citizen","ES"
1982,0,90,165.71,62.46,22.75,"Higher","ES citizen","ES"
1974,1,26,171.83,57.45,19.46,"Only primary","ES citizen","ES"
1998,1,53,167.08,81.37,29.15,"Higher","ES citizen","ES"
2014,1,18,164.67,57.31,21.13,"Secondary","ES citizen","ES"
2013,1,34,171.73,65.24,22.12,"Only secondary","ES citizen","ES"
1930,1,75,157.14,64.6,26.16,"Higher","ES citizen","ES"
1995,1,81,166.92,66.6,23.9,"Higher","ES citizen","ES"
1972,0,8,159.07,78.84,31.16,"Primary","ES citizen","ES"
1982,0,43,155.67,86.06,35.51,"Only kindergarten","non-ES citizen","ES"
1958,1,59,177.22,81,25.79,"Only kindergarten","ES citizen","ES"
1981,0,40,169.96,60.73,21.02,"Higher","ES citizen","ES"
2002,1,76,190.46,87.04,23.99,"Only primary","ES citizen","ES"
2010,0,61,149.66,69.19,30.89,"Only kindergarten","ES citizen","ES"
2001,1,83,169.28,67.16,23.44,"Higher","ES citizen","ES"
1985,1,51,169.87,80.04,27.74,"Only kindergarten","ES citizen","ES"
1990,1,17,160.86,58,22.41,"Secondary","ES citizen","ES"
1974,0,4,150.75,76.37,33.61,"Kindergarten","ES citizen","ES"
1992,0,82,161.75,77.89,29.77,"Only kindergarten","ES citizen","ES"
1939,1,43,181.13,74.91,22.83,"Higher","non-ES citizen","ES"
1947,1,83,181.23,66.85,20.35,"Only secondary","ES citizen","ES"
1946,0,30,157.46,80.79,32.58,"Only primary","ES citizen","ES"
1970,1,10,182.43,69.08,20.76,"Primary","ES citizen","ES"
1968,1,87,172.11,53.56,18.08,"Higher","ES citizen","ES"
1938,1,78,180.97,82.28,25.12,"Only primary","non-ES citizen","ES"
1993,0,9,162.81,70.59,26.63,"Primary","ES citizen","ES"
1953,0,75,152.38,86.22,37.13,"Higher","non-ES citizen","ES"
1996,1,61,174.68,62.94,20.63,"Only secondary","ES citizen","ES"
1931,1,37,164.54,61.96,22.89,"Higher","ES citizen","ES"
1983,0,33,167.34,77.99,27.85,"Only secondary","ES citizen","ES"
1964,1,87,166.89,57.62,20.69,"Only primary","ES citizen","ES"
1980,1,16,169.88,68.43,23.71,"Secondary","ES citizen","ES"
2003,0,62,158.34,84.85,33.84,"Only kindergarten","ES citizen","ES"
1959,1,9,171.44,77.23,26.28,"Primary","non-ES citizen","ES"
1939,0,29,170.05,87.36,30.21,"Only primary","ES citizen","ES"
1991,0,2,173.23,72.47,24.15,"None","ES citizen","ES"
1940,0,7,165.62,74.83,27.28,"None","ES citizen","ES"
2006,1,19,176.31,51.51,16.57,"Only primary","ES citizen","ES"
1978,0,57,168.14,71.81,25.4,"Higher","ES citizen","ES"
2020,1,89,171.96,59.54,20.14,"Higher","ES citizen","ES"
1937,1,65,187.65,71.39,20.27,"Only kindergarten","ES citizen","ES"
1929,1,82,173.09,81.76,27.29,"Higher","ES citizen","ES"
1980,0,97,158.89,66.98,26.53,"Only secondary","ES citizen","ES"
1930,1,1,158.62,45.4,18.04,"None","non-ES citizen","ES"
1973,1,100,179.62,54.88,17.01,"Only secondary","ES citizen","ES"
1960,0,48,159.3,71.24,28.07,"Only secondary","ES citizen","ES"
1937,1,80,171.5,59.79,20.33,"Only secondary","ES citizen","ES"
2006,0,58,158.18,57,22.78,"Higher","ES citizen","ES"
1950,0,4,169.31,73.53,25.65,"None","ES citizen","ES"
1986,1,8,189.86,65.36,18.13,"Primary","ES citizen","ES"
